"序号","项目","比赛名称","开始日期","结束日期","承办单位","地点","是否我们项目"
"77","单板滑雪障碍追逐","2025-2026赛季全国单板滑雪障碍追逐冠军赛","2026-02-02","2026-02-10","沈阳东北亚景区经营管理有限公司","辽宁沈阳东北亚滑雪场","否"
"10","短道速滑","2025-2026赛季全国滑冰U系列中学校际联赛（短道速滑）第四站","2026-02-05","2026-02-08","河南体育学院","郑州市奥体中心滑冰馆","否"
"58","单板滑雪大跳台和坡面障碍技巧","2025-2026赛季全国单板滑雪大跳台和坡面障碍技巧青少年U系列比赛-第三站","2026-02-05","2026-02-08","北京华体冰雪产业发展有限公司","张家口市雪如意滑雪场","是"
"57","自由式滑雪大跳台和坡面障碍技巧","2025-2026赛季全国自由式滑雪大跳台和坡面障碍技巧青少年U系列比赛-第三站","2026-02-08","2026-02-11","北京华体冰雪产业发展有限公司","张家口市雪如意滑雪场","是"
"67","高山滑雪","2025-2026赛季全国高山滑雪青少年U系列比赛-第四站","2026-02-21","2026-02-25","北京华体冰雪产业发展有限公司","张家口市雪如意滑雪场","是"
"36","自由式滑雪雪上技巧","2025-2026赛季全国自由式滑雪雪上技巧冠军赛","2026-02-25","2026-03-01","扎兰屯市文体广电旅游局","内蒙古扎兰屯市金龙山滑雪场","否"
"69","单板滑雪平行大回转","2025-2026赛季全国单板滑雪平行项目锦标赛","2026-02-25","2026-02-26","北京万冰雪体育有限公司承德市滦平分公司","河北承德市金山岭滑雪场","是"
"22","速度滑冰","2025-2026赛季全国滑冰U系列中学校际联赛（速度滑冰）第四站","2026-02-27","2026-03-01","大庆市体育局","大庆市滑冰馆","否"
"87","冬季两项","2025-2026赛季全国冬季两项冠军赛","2026-03-01","2026-03-07","河北承德御道口雍乾狩猎有限公司","河北承德市国家雪上项目训练基地","否"
"111","冰球","2025-2026赛季中国女子冰球职业联赛（总决赛）","2026-03-03","2026-03-07","哈尔滨体育学院、深圳昆仑鸿星俱乐部","哈尔滨体育学院","否"
"70","单板滑雪平行大回转","2025-2026赛季全国单板滑雪平行项目冠军赛","2026-03-04","2026-03-05","张家口市大型体育赛事中心","张家口市翠云山银河滑雪场","是"
"60","单板滑雪大跳台和坡面障碍技巧","2025-2026赛季全国单板滑雪大跳台和坡面障碍技巧青少年U系列比赛-第四站","2026-03-05","2026-03-08","北京华体冰雪产业发展有限公司","张家口市富龙滑雪场","是"
"63","高山滑雪","2025-2026赛季全国高山滑雪冠军赛","2026-03-05","2026-03-13","北京华体冰雪产业发展有限公司","吉林市松花湖滑雪场","是"
"84","越野滑雪","2025-2026赛季全国越野滑雪冠军赛","2026-03-05","2026-03-11","新疆阿勒泰市文化体育广播电视和旅游局","阿勒泰市萨尔阔布越野滑雪场","否"
"73","单板滑雪平行大回转","2025-2026赛季全国单板滑雪平行项目青少年U系列比赛-第三站","2026-03-06","2026-03-08","北京华体冰雪产业发展有限公司","张家口市云顶滑雪场","是"
"59","自由式滑雪大跳台和坡面障碍技巧","2025-2026赛季全国自由式滑雪大跳台和坡面障碍技巧青少年U系列比赛-第四站","2026-03-08","2026-03-11","北京华体冰雪产业发展有限公司","张家口市富龙滑雪场","是"
